Id,Area,Shape,Style,Utilities,Neighborhood,Price
515,10594,Reg,1.5Unf,AllPub,Crawfor,9650
516,12220,Reg,1Story,AllPub,NridgHt,40000
517,10448,IR1,SLvl,AllPub,NWAmes,15800
518,10208,IR1,2Story,AllPub,NoRidge,26500
519,9531,IR1,2Story,AllPub,CollgCr,21100
520,10918,Reg,2Story,AllPub,Crawfor,23400
521,10800,Reg,2Story,AllPub,OldTown,10625
522,11988,IR1,1Story,AllPub,NAmes,15000
523,5000,Reg,1.5Fin,AllPub,BrkSide,15900
524,40094,IR1,2Story,AllPub,Edwards,18475
525,11787,IR1,2Story,AllPub,NoRidge,31575
526,7500,Reg,1Story,AllPub,Somerst,17600
527,13300,Reg,1Story,AllPub,NAmes,13200
528,14948,IR1,2Story,AllPub,NridgHt,44000
529,9098,IR1,1Story,AllPub,Edwards,8600
530,32668,IR1,1Story,AllPub,Crawfor,20000
531,10200,Reg,SLvl,AllPub,Timber,17500
532,6155,IR1,2Story,AllPub,BrkSide,12800
533,7200,Reg,1Story,AllPub,NAmes,10750
534,5000,Reg,1Story,AllPub,BrkSide,8980
535,9056,IR1,2Story,AllPub,Gilbert,17800
536,7000,Reg,2Story,AllPub,Edwards,10750
537,8924,IR1,2Story,AllPub,CollgCr,18800
538,12735,IR1,1Story,AllPub,NAmes,11125
539,11553,IR1,1Story,AllPub,Sawyer,15800
540,11423,Reg,1Story,AllPub,CollgCr,27200
541,14601,Reg,1Story,AllPub,Timber,31500
542,11000,Reg,2Story,AllPub,NoRidge,24800
543,10140,Reg,1Story,AllPub,NWAmes,21325
544,4058,Reg,SFoyer,AllPub,NAmes,13300
545,17104,IR1,2Story,AllPub,Gilbert,17000
546,13837,IR1,1.5Fin,AllPub,NWAmes,22900
547,8737,IR1,1.5Fin,AllPub,BrkSide,21000
548,7244,Reg,SFoyer,AllPub,Mitchel,12950
549,8235,IR1,1Story,AllPub,OldTown,12500
550,9375,Reg,2Story,AllPub,Somerst,26300
551,4043,Reg,1Story,AllPub,NPkVill,14000
552,6000,Reg,1Story,AllPub,OldTown,11250
553,11146,IR1,1Story,AllPub,NridgHt,25550
554,8777,Reg,1Story,AllPub,Edwards,10800
555,10625,Reg,2Story,AllPub,NridgHt,28400
556,6380,Reg,1.5Unf,AllPub,BrkSide,11300
557,14850,IR1,1Story,AllPub,NAmes,14100
558,11040,Reg,1.5Fin,AllPub,IDOTRR,10800
559,21872,IR2,2Story,AllPub,Gilbert,17500
560,3196,Reg,1Story,AllPub,Blmngtn,23400
561,11341,IR1,1Story,AllPub,Sawyer,12150
562,10010,Reg,1Story,AllPub,Mitchel,17000
563,13907,Reg,1Story,AllPub,Edwards,10800
564,21780,Reg,1.5Fin,AllPub,Edwards,18500
565,13346,IR1,2Story,AllPub,NoRidge,26800
566,6858,Reg,2Story,AllPub,SWISU,12800
567,11198,IR1,2Story,AllPub,StoneBr,32500
568,10171,IR1,1Story,AllPub,NridgHt,21400
569,12327,IR1,1.5Fin,AllPub,SawyerW,31660
570,7032,IR1,SFoyer,AllPub,NAmes,13596
571,13101,IR1,1Story,AllPub,NAmes,14260
572,7332,Reg,1Story,AllPub,NAmes,12000
573,13159,IR1,2Story,AllPub,Timber,22450
574,9967,IR1,SLvl,AllPub,Gilbert,17000
575,10500,Reg,SLvl,AllPub,NAmes,13900
576,8480,Reg,1.5Fin,AllPub,NAmes,11850
577,6292,Reg,1.5Fin,AllPub,SWISU,14500
578,11777,IR1,SLvl,AllPub,Sawyer,16450
579,3604,Reg,2Story,AllPub,Somerst,14600
580,12150,Reg,1.5Fin,AllPub,OldTown,13150
581,14585,IR1,1Story,AllPub,NAmes,18190
582,12704,Reg,1Story,AllPub,NridgHt,25000
583,11841,Reg,SFoyer,AllPub,Edwards,11850
584,13500,Reg,2.5Unf,AllPub,OldTown,32500
585,6120,Reg,1.5Fin,AllPub,BrkSide,13300
586,11443,Reg,1Story,AllPub,Timber,36990
587,10267,Reg,1Story,AllPub,BrkSide,13000
588,8740,IR1,SFoyer,AllPub,Sawyer,13700
589,25095,IR1,1Story,AllPub,ClearCr,14300
590,9100,Reg,1Story,AllPub,BrkSide,7950
591,8320,Reg,2Story,AllPub,CollgCr,18590
592,13478,IR1,2Story,AllPub,NridgHt,45195
593,6600,Reg,1Story,AllPub,Mitchel,13800
594,4435,Reg,1Story,AllPub,CollgCr,14000
595,7990,IR1,1Story,AllPub,CollgCr,11000
596,11302,IR1,1Story,AllPub,StoneBr,31900
597,3600,Reg,2Story,AllPub,OldTown,11000
598,3922,Reg,1Story,AllPub,Blmngtn,19000
599,12984,Reg,1Story,AllPub,Crawfor,21750
600,1950,Reg,2Story,AllPub,Blueste,15100
601,10927,Reg,2Story,AllPub,NridgHt,27500
602,9000,Reg,1.5Fin,AllPub,IDOTRR,14100
603,10041,IR1,2Story,AllPub,SawyerW,22000
604,3182,Reg,2Story,AllPub,Somerst,15100
605,12803,IR1,1Story,AllPub,CollgCr,22100
606,13600,Reg,2Story,AllPub,NAmes,20500
607,12464,IR2,1Story,AllPub,CollgCr,15200
608,7800,Reg,2Story,AllPub,Edwards,22500
609,12168,Reg,2Story,AllPub,Crawfor,35910
610,7943,Reg,1Story,AllPub,Sawyer,11850
611,11050,Reg,2Story,AllPub,CollgCr,31300
612,10395,IR1,SLvl,AllPub,NWAmes,14800
613,11885,Reg,2Story,AllPub,CollgCr,26150
614,8402,Reg,1Story,AllPub,Mitchel,14700
615,1491,Reg,SFoyer,AllPub,MeadowV,7550
616,8800,Reg,SFoyer,AllPub,NAmes,13750
617,7861,IR1,2Story,AllPub,Gilbert,18320
618,7227,Reg,1.5Unf,AllPub,NAmes,10550
619,11694,Reg,1Story,AllPub,NridgHt,31000
620,12244,Reg,2Story,AllPub,Timber,30500
621,8248,Reg,1Story,AllPub,Edwards,9700
622,10800,Reg,2Story,AllPub,NWAmes,24000
623,7064,Reg,1Story,AllPub,Sawyer,13500
624,2117,Reg,2Story,AllPub,Somerst,16850
625,10400,Reg,2Story,AllPub,NWAmes,16515
626,10000,IR1,1Story,AllPub,NAmes,16000
627,12342,IR1,1Story,AllPub,NAmes,13990
628,9600,Reg,SLvl,AllPub,NAmes,15300
629,11606,IR1,2Story,AllPub,NAmes,13500
630,9020,Reg,SLvl,AllPub,NAmes,16850
631,9000,Reg,2Story,AllPub,OldTown,12400
632,4590,Reg,1Story,AllPub,NridgHt,20950
633,11900,Reg,1Story,AllPub,NWAmes,8250
634,9250,Reg,1Story,AllPub,NAmes,13940
635,6979,Reg,SFoyer,AllPub,OldTown,14400
636,10896,Reg,2.5Fin,AllPub,SWISU,20000
637,6120,Reg,1Story,AllPub,BrkSide,9000
638,6000,Reg,1.5Fin,AllPub,OldTown,9300
639,8777,Reg,1Story,AllPub,Edwards,8500
640,3982,Reg,1Story,AllPub,Blmngtn,26000
641,12677,IR1,1Story,AllPub,NridgHt,27400
642,7050,Reg,2Story,AllPub,Somerst,22600
643,13860,Reg,SLvl,AllPub,NAmes,34500
644,10793,Reg,2Story,AllPub,NWAmes,15200
645,9187,Reg,1Story,AllPub,Somerst,37000
646,10530,IR1,1Story,AllPub,NAmes,14325
647,7200,Reg,1Story,AllPub,NAmes,9830
648,10452,IR1,1Story,AllPub,Edwards,15500
649,7700,Reg,2Story,AllPub,NAmes,15500
650,1936,Reg,SFoyer,AllPub,MeadowV,8450
651,8125,Reg,2Story,AllPub,Somerst,20595
652,9084,Reg,2Story,AllPub,Edwards,10800
653,8750,Reg,2Story,AllPub,CollgCr,19100
654,10320,Reg,1.5Fin,AllPub,IDOTRR,13500
655,10437,IR1,1Story,AllPub,NoRidge,35000
656,1680,Reg,2Story,AllPub,BrDale,8800
657,10007,IR1,1Story,AllPub,NAmes,14550
658,7200,Reg,2Story,AllPub,Crawfor,14900
659,17503,Reg,1.5Fin,AllPub,NAmes,9750
660,9937,Reg,1Story,AllPub,Edwards,16700
661,12384,Reg,2Story,AllPub,NWAmes,19790
662,46589,IR2,2Story,AllPub,NoRidge,40200
663,13560,Reg,1Story,AllPub,NAmes,11000
664,10012,Reg,SFoyer,AllPub,Edwards,13750
665,20896,IR2,1Story,AllPub,Somerst,42300
666,11194,IR1,2Story,AllPub,Gilbert,23050
667,18450,IR1,2Story,AllPub,NAmes,12900
668,8125,Reg,1Story,AllPub,SawyerW,19350
669,14175,Reg,1Story,AllPub,Sawyer,16800
670,11600,Reg,1Story,AllPub,Crawfor,13750
671,8633,Reg,2Story,AllPub,CollgCr,17350
672,6629,Reg,2Story,AllPub,Edwards,10360
673,11250,IR1,1Story,AllPub,Veenker,16500
674,14442,Reg,1Story,AllPub,Crawfor,25750
675,9200,Reg,1Story,AllPub,NAmes,14000
676,2289,Reg,2Story,AllPub,NPkVill,14850
677,9600,Reg,2Story,AllPub,OldTown,8700
678,9022,Reg,1Story,AllPub,OldTown,10950
679,11844,IR1,1Story,AllPub,StoneBr,37250
680,9945,IR1,1Story,AllPub,Sawyer,12850
681,8012,Reg,1Story,AllPub,SawyerW,14300
682,4500,IR2,1.5Fin,AllPub,SWISU,15000
683,2887,Reg,1Story,AllPub,ClearCr,17300
684,11248,IR1,1Story,AllPub,CollgCr,28500
685,16770,IR2,2Story,AllPub,NoRidge,22100
686,5062,IR1,2Story,AllPub,StoneBr,20750
687,10207,Reg,2Story,AllPub,Somerst,22000
688,5105,IR2,2Story,AllPub,Somerst,14880
689,8089,Reg,1Story,AllPub,StoneBr,39200
690,7577,IR1,1Story,AllPub,NridgHt,19470
691,4426,Reg,1Story,AllPub,CollgCr,14100
692,21535,IR1,2Story,AllPub,NoRidge,75500
693,26178,IR1,2Story,AllPub,Timber,33500
694,5400,Reg,1Story,AllPub,OldTown,10848
695,6120,Reg,1.5Fin,AllPub,BrkSide,14150
696,13811,IR1,1Story,AllPub,Timber,17600
697,6000,Reg,1Story,AllPub,BrkSide,8900
698,6420,IR1,1Story,AllPub,Edwards,12350
699,8450,Reg,1Story,AllPub,Sawyer,13850
700,4282,IR2,1Story,AllPub,Somerst,19600
701,14331,Reg,1Story,AllPub,Timber,31250
702,9600,Reg,1Story,AllPub,NWAmes,14000
703,12438,IR1,2Story,AllPub,StoneBr,36000
704,7630,Reg,2Story,AllPub,OldTown,14000
705,8400,Reg,1Story,AllPub,CollgCr,21300
706,5600,Reg,2Story,AllPub,IDOTRR,7700
707,115149,IR2,1Story,AllPub,ClearCr,30200
708,6240,Reg,1Story,AllPub,NridgHt,25400
709,9018,IR1,2Story,AllPub,Gilbert,17954
710,7162,IR1,1Story,AllPub,Sawyer,10990
711,4130,IR1,1Story,AllPub,BrkSide,7200
712,8712,Reg,1.5Fin,AllPub,IDOTRR,10000
713,4671,IR1,1Story,AllPub,StoneBr,18900
714,9873,Reg,1Story,AllPub,BrkSide,12900
715,13517,IR1,2Story,AllPub,Sawyer,13050
716,10140,Reg,1Story,AllPub,NWAmes,16500
717,10800,Reg,2Story,AllPub,OldTown,15950
718,10000,Reg,1Story,AllPub,NWAmes,15700
719,10542,Reg,2Story,AllPub,NoRidge,34100
720,9920,IR1,1Story,AllPub,CollgCr,12850
721,6563,IR1,1Story,AllPub,StoneBr,27500
722,4426,Reg,1Story,AllPub,CollgCr,14300
723,8120,Reg,1Story,AllPub,NAmes,12450
724,8172,Reg,1.5Fin,AllPub,Edwards,13500
725,13286,IR1,1Story,AllPub,Edwards,32000
726,6960,Reg,1Story,AllPub,NAmes,12050
727,21695,IR1,1Story,AllPub,Crawfor,22200
728,7314,Reg,1Story,AllPub,CollgCr,19450
729,11475,Reg,1Story,AllPub,NAmes,11000
730,6240,Reg,1.5Fin,AllPub,IDOTRR,10300
731,5389,IR1,1Story,AllPub,StoneBr,23650
732,9590,IR1,SLvl,AllPub,Timber,18750
733,11404,IR1,2Story,AllPub,CollgCr,22250
734,10000,Reg,1Story,AllPub,Sawyer,13140
735,8978,IR1,1Story,AllPub,Sawyer,10800
736,10800,Reg,2.5Unf,AllPub,OldTown,16300
737,8544,Reg,1Story,AllPub,NAmes,9350
738,10463,IR1,2Story,AllPub,Gilbert,23990
739,10800,Reg,1Story,AllPub,Edwards,17900
740,9313,IR1,2Story,AllPub,CollgCr,19000
741,9600,Reg,2Story,AllPub,OldTown,13200
742,6768,IR1,1Story,AllPub,Sawyer,14200
743,8450,Reg,1Story,AllPub,SawyerW,17900
744,12886,IR1,SLvl,AllPub,Sawyer,17500
745,5395,IR1,1Story,AllPub,StoneBr,18000
746,8963,IR1,2Story,AllPub,NWAmes,29980
747,8795,IR1,2Story,AllPub,Gilbert,23600
748,11700,IR1,2Story,AllPub,OldTown,26000
749,10593,IR1,1Story,AllPub,NoRidge,26040
750,8405,Reg,1.5Fin,AllPub,Edwards,9800
751,8800,Reg,1.5Fin,AllPub,OldTown,9650
752,7750,Reg,2Story,AllPub,Gilbert,16200
753,9236,IR1,1Story,AllPub,CollgCr,21700
754,10240,Reg,2Story,AllPub,NridgHt,27550
755,7930,Reg,1Story,AllPub,NAmes,15600
756,3230,Reg,2Story,AllPub,Somerst,17250
757,10769,IR1,2Story,AllPub,CollgCr,21200
758,11616,IR1,2Story,AllPub,Sawyer,15890
759,2280,Reg,2Story,AllPub,Somerst,17940
760,12257,IR1,2Story,AllPub,NoRidge,29000
761,9100,Reg,1Story,AllPub,NAmes,12750
762,6911,Reg,1Story,AllPub,BrkSide,10000
763,8640,Reg,2Story,AllPub,Somerst,21520
764,9430,Reg,2Story,AllPub,NoRidge,33700
765,9549,IR1,1Story,AllPub,Veenker,27000
766,14587,IR1,1Story,AllPub,Somerst,26000
767,10421,Reg,2Story,AllPub,NWAmes,19650
768,12508,IR1,1.5Fin,AllPub,Mitchel,16000
769,9100,Reg,1Story,AllPub,CollgCr,21000
770,53504,IR2,2Story,AllPub,StoneBr,53800
771,7252,IR1,SFoyer,AllPub,Sawyer,13490
772,8877,Reg,1Story,AllPub,Edwards,10200
773,7819,Reg,SLvl,AllPub,Edwards,10700
774,10150,Reg,1Story,AllPub,NAmes,11450
775,14226,Reg,1Story,AllPub,NridgHt,39500
776,4500,Reg,1Story,AllPub,Mitchel,16200
777,11210,IR1,1Story,AllPub,CollgCr,22150
778,13350,IR1,1Story,AllPub,Sawyer,14250
779,8400,Reg,1Story,AllPub,SawyerW,14400
780,10530,Reg,SFoyer,AllPub,Mitchel,13500
781,7875,Reg,1Story,AllPub,Gilbert,17600
782,7153,Reg,2Story,AllPub,SawyerW,17590
783,16285,IR2,1Story,AllPub,CollgCr,18710
784,9101,IR1,SFoyer,AllPub,Mitchel,16550
785,6300,Reg,2.5Unf,AllPub,OldTown,12800
786,9790,Reg,1Story,AllPub,NWAmes,16150
787,10800,Reg,1.5Fin,AllPub,OldTown,13900
788,10142,IR1,2Story,AllPub,SawyerW,23300
789,6000,Reg,1Story,AllPub,OldTown,10790
790,12205,IR1,2Story,AllPub,ClearCr,18750
791,3182,Reg,1Story,AllPub,Blmngtn,16020
792,11333,IR1,SLvl,AllPub,Mitchel,14680
793,9920,IR1,2Story,AllPub,NoRidge,26979
794,9158,Reg,1Story,AllPub,Somerst,22500
795,10832,IR1,2Story,AllPub,Gilbert,19450
796,8400,Reg,2Story,AllPub,SawyerW,17100
797,8197,Reg,1Story,AllPub,Sawyer,14350
798,7677,Reg,1Story,AllPub,NAmes,11000
799,13518,Reg,2Story,AllPub,NridgHt,48500
800,7200,Reg,1.5Fin,AllPub,SWISU,17500
801,12798,IR1,2Story,AllPub,ClearCr,20000
802,4800,Reg,1Story,AllPub,IDOTRR,10990
803,8199,Reg,2Story,AllPub,CollgCr,18900
804,13891,Reg,2Story,AllPub,NridgHt,58000
805,9000,Reg,1Story,AllPub,NAmes,11800
806,12274,IR1,1Story,AllPub,Somerst,22768
807,9750,Reg,SLvl,AllPub,NAmes,13550
808,21384,Reg,2Story,AllPub,BrkSide,22350
809,13400,Reg,SLvl,AllPub,NAmes,15995
810,8100,Reg,2.5Unf,AllPub,OldTown,10600
811,10140,Reg,1Story,AllPub,NWAmes,18100
812,4438,Reg,1Story,AllPub,CollgCr,14450
813,8712,Reg,1Story,AllPub,IDOTRR,7700
814,9750,Reg,1Story,AllPub,NAmes,15790
815,8248,Reg,1.5Fin,AllPub,Edwards,11600
816,12137,IR2,1Story,AllPub,CollgCr,22490
817,11425,IR1,1Story,AllPub,NAmes,13700
818,13265,IR1,1Story,AllPub,Mitchel,27100
819,8816,Reg,SLvl,AllPub,ClearCr,15500
820,6371,IR1,1Story,AllPub,NridgHt,22400
821,7226,IR1,2Story,AllPub,CollgCr,18300
822,6000,Reg,1Story,AllPub,OldTown,9300
823,12394,IR1,2Story,AllPub,Gilbert,22500
824,9900,Reg,1.5Fin,AllPub,SWISU,13950
825,11216,Reg,1Story,AllPub,Somerst,23260
826,14803,Reg,1Story,AllPub,NridgHt,38500
827,6130,Reg,1.5Unf,AllPub,BrkSide,10950
828,8529,IR1,1Story,AllPub,SawyerW,18900
829,28698,IR2,2Story,AllPub,ClearCr,18500
830,2544,Reg,2Story,AllPub,Somerst,14740
831,11900,IR1,1Story,AllPub,NAmes,16600
832,3180,Reg,2Story,AllPub,Somerst,15100
833,9548,IR1,2Story,AllPub,CollgCr,23700
834,10004,Reg,1Story,AllPub,NAmes,16700
835,7875,Reg,1Story,AllPub,NAmes,13995
836,9600,Reg,1Story,AllPub,Sawyer,12800
837,8100,Reg,1Story,AllPub,OldTown,15350
838,1680,Reg,2Story,AllPub,BrDale,10000
839,9525,Reg,1Story,AllPub,CollgCr,14400
840,11767,Reg,1.5Fin,AllPub,Edwards,13050
841,12155,IR1,2Story,AllPub,SWISU,14000
842,10440,Reg,2Story,AllPub,OldTown,15750
843,9020,Reg,SLvl,AllPub,NAmes,17490
844,8000,Reg,1Story,AllPub,NAmes,14100
845,12665,IR1,1.5Fin,AllPub,OldTown,15390
846,16647,IR1,SFoyer,AllPub,Sawyer,17100
847,9317,Reg,2Story,AllPub,SawyerW,21300
848,15523,IR1,1Story,AllPub,CollgCr,13350
849,45600,IR2,1.5Fin,AllPub,ClearCr,24000
850,9600,Reg,SLvl,AllPub,Veenker,18700
851,4435,Reg,1Story,AllPub,CollgCr,13150
852,3196,Reg,1Story,AllPub,Blmngtn,21500
853,7128,Reg,2.5Unf,AllPub,Crawfor,16400
854,12095,IR1,SLvl,AllPub,NAmes,15800
855,17920,Reg,1Story,AllPub,Sawyer,17000
856,6897,IR1,1Story,AllPub,Sawyer,12700
857,10970,IR1,SLvl,AllPub,CollgCr,14700
858,8125,Reg,2Story,AllPub,Gilbert,17400
859,10400,Reg,1Story,AllPub,NWAmes,15200
860,11029,IR1,2Story,AllPub,NWAmes,25000
861,7642,Reg,1.5Fin,AllPub,Crawfor,18995
862,11625,Reg,1Story,AllPub,Sawyer,13150
863,9672,Reg,1Story,AllPub,SawyerW,15200
864,7931,Reg,1Story,AllPub,NAmes,13250
865,8640,Reg,1Story,AllPub,Somerst,25058
866,8750,IR1,1Story,AllPub,NAmes,14850
867,10656,IR1,1Story,AllPub,Timber,24890
868,6970,Reg,1Story,AllPub,Sawyer,12900
869,14762,IR2,2Story,AllPub,Gilbert,16900
870,9938,Reg,2Story,AllPub,SawyerW,23600
871,6600,Reg,1Story,AllPub,NAmes,10950
872,8750,Reg,2Story,AllPub,CollgCr,20050
873,8892,Reg,1Story,AllPub,NAmes,11600
874,12144,Reg,1Story,AllPub,NAmes,13300
875,5720,Reg,1.5Fin,AllPub,OldTown,9970
876,9000,Reg,2Story,AllPub,Somerst,30000
877,25286,Reg,1Story,AllPub,Mitchel,13225
878,8834,Reg,2Story,AllPub,NridgHt,35000
879,11782,IR1,SFoyer,AllPub,Sawyer,14800
880,7000,IR1,1Story,AllPub,CollgCr,13650
881,7024,Reg,1Story,AllPub,Edwards,15700
882,13758,IR1,1.5Fin,AllPub,Timber,18750
883,9636,IR1,2Story,AllPub,Gilbert,17800
884,6204,Reg,2.5Fin,AllPub,SWISU,11850
885,7150,Reg,1Story,AllPub,NAmes,10000
886,5119,IR1,1Story,AllPub,Somerst,32890
887,8393,Reg,1Story,AllPub,NAmes,14500
888,16466,IR1,1.5Fin,AllPub,Edwards,13550
889,15865,IR1,1Story,AllPub,NAmes,26800
890,12160,Reg,1Story,AllPub,NAmes,14950
891,8064,Reg,1.5Fin,AllPub,NAmes,12290
892,11184,Reg,2Story,AllPub,Sawyer,17250
893,8414,Reg,1Story,AllPub,Sawyer,15450
894,13284,Reg,1Story,AllPub,Sawyer,16500
895,7018,Reg,1Story,AllPub,SawyerW,11000
896,7056,Reg,2Story,AllPub,NAmes,14000
897,8765,Reg,1Story,AllPub,IDOTRR,10650
898,7018,Reg,2Story,AllPub,SawyerW,14000
899,12919,IR1,1Story,AllPub,NridgHt,61000
900,6993,Reg,1Story,AllPub,Sawyer,13500
901,7340,IR1,1Story,AllPub,NAmes,11000
902,8712,IR1,1Story,AllPub,NAmes,15300
903,7875,Reg,2Story,AllPub,Gilbert,18000
904,14859,IR1,1Story,AllPub,Gilbert,24000
905,6173,IR1,1Story,AllPub,Sawyer,12550
906,9920,Reg,1Story,AllPub,NAmes,12800
907,13501,IR1,1Story,AllPub,Somerst,25500
908,11500,IR1,1.5Fin,AllPub,Crawfor,25000
909,8885,IR1,1Story,AllPub,Mitchel,13100
910,12589,IR2,2Story,AllPub,Gilbert,17400
911,11600,Reg,2Story,AllPub,NAmes,15430
912,9286,IR1,1Story,AllPub,CollgCr,14350
913,6120,Reg,1Story,AllPub,BrkSide,8800
914,6270,Reg,2Story,AllPub,Crawfor,14500
915,3000,Reg,2Story,AllPub,Somerst,17000
916,2001,Reg,2Story,AllPub,MeadowV,7500
917,9000,Reg,1Story,AllPub,IDOTRR,8700
918,17140,Reg,1Story,AllPub,Edwards,13500
919,13125,IR1,2Story,AllPub,SawyerW,23800
920,11029,IR1,1Story,AllPub,NAmes,17650
921,8462,IR1,2Story,AllPub,SawyerW,20100
922,8777,Reg,1.5Fin,AllPub,Edwards,14590
923,10237,Reg,1Story,AllPub,Gilbert,16999
924,8012,Reg,1Story,AllPub,SawyerW,19300
925,10240,Reg,1Story,AllPub,NWAmes,20750
926,15611,IR1,1Story,AllPub,NWAmes,17500
927,11999,Reg,2Story,AllPub,NridgHt,28500
928,9900,Reg,2Story,AllPub,NWAmes,17600
929,11838,Reg,1Story,AllPub,CollgCr,23650
930,13006,IR1,2Story,AllPub,Gilbert,22200
931,8925,IR1,1Story,AllPub,Timber,20100
932,9100,Reg,1Story,AllPub,NAmes,11750
933,11670,IR1,1Story,AllPub,Somerst,32000
934,8487,Reg,1Story,AllPub,CollgCr,19000
935,27650,IR2,1Story,AllPub,NAmes,24200
936,5825,IR1,1Story,AllPub,BrkSide,7990
937,10083,Reg,1Story,AllPub,SawyerW,18490
938,9675,Reg,2Story,AllPub,Somerst,25300
939,8760,Reg,2Story,AllPub,CollgCr,23000
940,24090,Reg,2Story,AllPub,ClearCr,24440
941,12640,IR1,1Story,AllPub,Mitchel,15090
942,8755,IR1,2Story,AllPub,Gilbert,21400
943,7711,IR1,1Story,AllPub,Edwards,15000
944,25000,Reg,1Story,AllPub,Mitchel,14300
945,14375,IR1,SLvl,NoSeWa,Timber,13750
946,8820,Reg,1.5Fin,AllPub,OldTown,12490
947,8163,Reg,SLvl,AllPub,NAmes,14300
948,14536,Reg,1Story,AllPub,Timber,27000
949,14006,IR1,2Story,AllPub,CollgCr,19250
950,9360,Reg,1Story,AllPub,NWAmes,19750
951,7200,Reg,1Story,AllPub,NAmes,12900
952,7800,Reg,1Story,AllPub,SawyerW,11990
953,7200,Reg,SFoyer,AllPub,CollgCr,13390
954,11075,IR1,2Story,AllPub,Mitchel,17200
955,9400,IR1,SFoyer,AllPub,Edwards,12750
956,7136,IR1,2Story,AllPub,Crawfor,14500
957,1300,Reg,2Story,AllPub,Blueste,12400
958,7420,Reg,1Story,AllPub,Sawyer,13200
959,8450,Reg,1Story,AllPub,CollgCr,18500
960,2572,Reg,2Story,AllPub,Somerst,15500
961,7207,IR1,1Story,AllPub,BrkSide,11650
962,12227,IR1,2Story,AllPub,NWAmes,27200
963,2308,Reg,2Story,AllPub,NPkVill,15500
964,11923,IR1,1Story,AllPub,CollgCr,23900
965,11316,Reg,2Story,AllPub,Timber,21490
966,10237,Reg,2Story,AllPub,Gilbert,17890
967,9600,IR1,1.5Fin,AllPub,Crawfor,16000
968,7390,IR1,1Story,AllPub,NAmes,13500
969,5925,Reg,1.5Fin,AllPub,OldTown,8790
970,10382,Reg,SLvl,AllPub,NAmes,14000
971,10800,Reg,1.5Fin,AllPub,NAmes,13500
972,2268,Reg,2Story,AllPub,NridgHt,17300
973,7892,Reg,1Story,AllPub,SawyerW,9950
974,11639,Reg,1Story,AllPub,Somerst,18200
975,11414,IR1,2Story,AllPub,BrkSide,16750
976,2651,Reg,2Story,AllPub,Somerst,16500
977,5900,IR1,1Story,AllPub,BrkSide,8550
978,4274,IR1,1Story,AllPub,Somerst,19990
979,9450,Reg,1Story,AllPub,Edwards,11000
980,8816,Reg,1Story,AllPub,Sawyer,13900
981,12122,IR1,SFoyer,AllPub,NAmes,17840
982,12203,IR1,2Story,AllPub,NoRidge,33600
983,3182,Reg,1Story,AllPub,Blmngtn,15000
984,11250,Reg,2Story,AllPub,CollgCr,25590
985,10125,Reg,1.5Fin,AllPub,Mitchel,12600
986,10880,Reg,1Story,AllPub,Edwards,12500
987,5310,Reg,1.5Fin,AllPub,OldTown,11700
988,10159,IR1,1Story,AllPub,NridgHt,39000
989,12046,IR1,2Story,AllPub,NWAmes,19500
990,8125,Reg,2Story,AllPub,Somerst,19700
991,9452,Reg,2Story,AllPub,NoRidge,34800
992,17671,Reg,2Story,AllPub,OldTown,16800
993,9760,Reg,2Story,AllPub,NAmes,18700
994,8846,Reg,2Story,AllPub,CollgCr,17390
995,12456,Reg,1Story,AllPub,NridgHt,33750
996,4712,IR1,1.5Fin,AllPub,BrkSide,12160
997,10659,IR1,1Story,AllPub,NAmes,13650
998,11717,IR1,1Story,AllPub,NWAmes,18500
999,9786,Reg,1Story,AllPub,IDOTRR,9100
1000,6762,Reg,1Story,AllPub,CollgCr,20600
1001,10206,Reg,1Story,AllPub,Edwards,8200
1002,5400,Reg,1Story,AllPub,OldTown,8600
1003,11957,IR1,1Story,AllPub,Somerst,23200
1004,11500,IR1,1Story,AllPub,NWAmes,13000
1005,3182,Reg,1Story,AllPub,Blmngtn,18100
1006,8385,Reg,SLvl,AllPub,CollgCr,14990
1007,12155,IR3,1Story,AllPub,NAmes,16350
1008,2217,Reg,2Story,AllPub,MeadowV,8800
1009,12118,IR1,1Story,AllPub,Mitchel,24000
1010,6000,Reg,1.5Fin,AllPub,SWISU,10200
1011,21286,Reg,1.5Fin,AllPub,Sawyer,13500
1012,9825,Reg,1Story,AllPub,Edwards,10000
1013,10592,Reg,2Story,AllPub,Crawfor,16500
1014,7200,Reg,1Story,AllPub,OldTown,8500
1015,11664,Reg,1Story,AllPub,NAmes,11920
1016,8400,Reg,2Story,AllPub,NWAmes,22700
1017,11883,Reg,1Story,AllPub,CollgCr,20300
1018,5814,IR1,1Story,AllPub,StoneBr,18750
1019,10784,IR1,SLvl,AllPub,Gilbert,16000
1020,3013,Reg,1Story,AllPub,Blmngtn,21349
1021,7024,Reg,1Story,AllPub,Edwards,17600
1022,7406,Reg,1Story,AllPub,CollgCr,19400
1023,9439,Reg,1.5Fin,AllPub,OldTown,8700
1024,3182,Reg,1Story,AllPub,Blmngtn,19100
1025,15498,IR1,1Story,AllPub,Timber,28700
1026,7700,Reg,1Story,AllPub,CollgCr,11250
1027,9300,Reg,1Story,AllPub,NAmes,16750
1028,9520,IR1,1Story,AllPub,Timber,29000
1029,9492,Reg,1.5Fin,AllPub,NAmes,10500
